Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurring
Multipurpose Studio: Strength,04/01/2018,10:15:00 AM,04/01/2018,11:00:00 AM,False,Strength:Laura B:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: STRONG,04/01/2018,1:00:00 PM,04/01/2018,2:00:00 PM,False,STRONG:Staff:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Core Express,04/02/2018,4:40:00 AM,04/02/2018,4:55:00 AM,False,Core Express:Terri W.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: AOA Core &amp; Balance,04/02/2018,8:00:00 AM,04/02/2018,8:45:00 AM,False,AOA Core &amp; Balance:Terri W.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Strength,04/02/2018,9:15:00 AM,04/02/2018,10:00:00 AM,False,Strength:Robin H.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Row &amp; Reps,04/02/2018,11:15:00 AM,04/02/2018,12:00:00 PM,False,Row &amp; Reps:Lexie V.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Strength,04/02/2018,12:15:00 PM,04/02/2018,1:00:00 PM,False,Strength:Lexie V.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Power 45,04/02/2018,1:15:00 PM,04/02/2018,2:00:00 PM,False,Power 45:Chad F.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Strength Intro - Sign up,04/02/2018,3:45:00 PM,04/02/2018,4:15:00 PM,False,Strength Intro - Sign up:Lexie V.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Strength,04/02/2018,4:30:00 PM,04/02/2018,5:15:00 PM,False,Strength:Laura B.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Zumba,04/02/2018,5:30:00 PM,04/02/2018,6:15:00 PM,False,Zumba:Megan S:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Barefoot Power,04/02/2018,6:30:00 PM,04/02/2018,7:15:00 PM,False,Barefoot Power:Robin H:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Power 45,04/03/2018,5:00:00 AM,04/03/2018,5:45:00 AM,False,Power 45:Brian S.:Multipurpose Studio,Multipurpose Studio,False,Y
Multipurpose Studio: Strength Express,04/03/2018,6:00:00 AM,04/03/2018,6:30:00 AM,False,Strength Express:Jordan T.:Multipurpose Studio,Multipurpose Studio,False,Y
