Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private,Recurring
Training Studio: Fusion 45,04/01/2018,9:15:00 AM,04/01/2018,10:00:00 AM,False,Fusion 45:Anthony S.:Training Studio,Training Studio,False,Y
Training Studio: Core Express,04/01/2018,10:45:00 AM,04/01/2018,11:00:00 AM,False,Core Express:Anthony S.:Training Studio,Training Studio,False,Y
Training Studio: Fusion Express,04/01/2018,11:15:00 AM,04/01/2018,11:45:00 AM,False,Fusion Express:Anthony S.:Training Studio,Training Studio,False,Y
Training Studio: Fusion Express,04/02/2018,5:15:00 AM,04/02/2018,5:45:00 AM,False,Fusion Express:Tiffany D.:Training Studio,Training Studio,False,Y
Training Studio: KB &amp; ST - Sign up,04/02/2018,6:00:00 AM,04/02/2018,7:00:00 AM,False,KB &amp; ST - Sign up:Terri W.:Training Studio,Training Studio,False,Y
Training Studio: Fusion 45,04/02/2018,9:15:00 AM,04/02/2018,10:00:00 AM,False,Fusion 45:Tiffany D.:Training Studio,Training Studio,False,Y
Training Studio: Fusion Express,04/02/2018,11:15:00 AM,04/02/2018,11:45:00 AM,False,Fusion Express:Lynne J.:Training Studio,Training Studio,False,Y
Training Studio: KB &amp; ST - Prerequisite exp.,04/02/2018,12:15:00 PM,04/02/2018,1:00:00 PM,False,KB &amp; ST - Prerequisite exp.:Brian S.:Training Studio,Training Studio,False,Y
Training Studio: Fusion Express,04/02/2018,1:15:00 PM,04/02/2018,1:45:00 PM,False,Fusion Express:Brian S.:Training Studio,Training Studio,False,Y
Training Studio: Core Express,04/02/2018,2:00:00 PM,04/02/2018,2:15:00 PM,False,Core Express:Brian S.:Training Studio,Training Studio,False,Y
Training Studio: Fusion 45,04/02/2018,4:30:00 PM,04/02/2018,5:15:00 PM,False,Fusion 45:Lisa C.:Training Studio,Training Studio,False,Y
Training Studio: Fusion 45,04/02/2018,5:30:00 PM,04/02/2018,6:15:00 PM,False,Fusion 45:Lisa C.:Training Studio,Training Studio,False,Y
Training Studio: Closed for Program,04/02/2018,6:45:00 PM,04/02/2018,7:30:00 PM,False,Closed for Program:Staff:Training Studio,Training Studio,False,Y
